Lens Quality,Radius,Thickness,Mold,Length,Curve,Time1,Cure,Energy ,Post_energy,TDose,Shower,TDose 2,"New_shower""",4004,4010,3secT,Holding,Flow,LowTemp,Pressure,Short Time,Aid1G,Aid2g,FSg,MSg,MSBCg
8.475,1.102,0.230,1,14.104,8.477,29.9,315.1,1669.8,18142.15,89.31,1796.35,89.29,1630.05,47.31,44.35,1567.1,0.289999992,10.30000019,0.849999964,600,0.269999981,2439.5000,2732.5000,20720.7500,9786.0000,10934.7500
8.516,1.108,0.231,2,14.091,8.453,30.1,311.9,1652.8,18143.45,89.30,1807.25,89.36,1592.35,47.24,44.32,1581.9,0.289999992,10.30000019,0.849999964,600,0.269999981,2458.0000,2752.2500,20720.7500,9786.0000,10934.7500
8.517,1.106,0.230,3,14.094,8.461,30.8,317.6,1683.3,18145.50,89.31,1743.05,89.16,1681.95,47.39,44.35,1547.4,0.289999992,10.30000019,0.849999964,600,0.269999981,2456.5000,2728.5000,20720.7500,9786.0000,10934.7500
8.578,1.115,0.231,4,14.083,8.456,32.9,324.8,1721.4,18150.55,89.30,1802.25,89.32,1611.90,47.28,44.29,1574.7,0.289999992,10.30000019,0.849999964,600,0.269999981,2432.0000,2721.5000,20720.7500,9786.0000,10934.7500
8.509,1.102,0.230,1,14.092,8.456,30.0,320.5,1698.7,18157.50,89.17,1491.45,89.33,1565.60,47.97,44.57,1520.8,0.299999982,10.59999943,0.799999952,600,0.269999981,2439.2500,2725.5000,20709.5000,9786.0000,10923.5000
8.538,1.107,0.232,2,14.100,8.465,31.0,316.9,1679.6,18153.25,89.17,1500.20,89.32,1566.40,47.96,44.57,1521.3,0.299999982,10.59999943,0.799999952,600,0.269999981,2455.7500,2748.2500,20709.5000,9786.0000,10923.5000
8.545,1.107,0.232,3,14.101,8.479,30.6,321.8,1705.5,18158.75,89.17,1492.25,89.32,1581.15,47.98,44.62,1510.9,0.299999982,10.59999943,0.799999952,600,0.269999981,2451.5000,2732.2500,20709.5000,9786.0000,10923.5000
8.591,1.114,0.232,4,14.096,8.467,30.3,318.8,1689.4,18155.25,89.17,1499.80,89.34,1565.05,47.97,44.55,1530.6,0.299999982,10.59999943,0.799999952,600,0.269999981,2439.5000,2717.5000,20709.5000,9786.0000,10923.5000
8.473,1.102,0.230,1,14.088,8.441,31.1,320.3,1697.6,18154.95,89.20,1553.50,89.44,1530.55,46.79,43.80,1851.7,0.280000001,10,0.899999976,635,0.259999991,2446.0000,2727.5000,20723.2500,9793.7500,10929.5000
8.533,1.107,0.230,2,14.106,8.459,35.5,321.3,1702.9,18157.15,89.19,1538.20,89.40,1544.95,46.70,43.88,1834.6,0.280000001,10,0.899999976,635,0.259999991,2452.7500,2753.2500,20723.2500,9793.7500,10929.5000
8.554,1.107,0.231,3,14.100,8.468,32.5,316.3,1676.1,18152.65,89.20,1541.45,89.40,1544.40,46.69,43.82,1853.5,0.280000001,10,0.899999976,635,0.259999991,2459.0000,2731.5000,20723.2500,9793.7500,10929.5000
8.596,1.112,0.231,4,14.105,8.468,34.0,313.2,1660.0,18148.10,89.20,1557.65,89.44,1525.50,46.76,43.81,1852.4,0.280000001,10,0.899999976,635,0.259999991,2436.0000,2717.2500,20723.2500,9793.7500,10929.5000
8.461,1.097,0.230,1,14.086,8.441,31.3,312.6,1656.5,18147.60,89.20,1712.65,88.48,1777.90,47.14,44.16,1682.5,0.289999992,9.6,0.799999952,600,0.280000001,2433.0000,2716.7500,20632.2500,9751.5000,10880.7500
8.553,1.110,0.231,2,14.098,8.452,30.5,317.9,1684.8,18152.58,89.21,1700.05,88.48,1791.74,47.15,44.15,1681.7,0.289999992,9.6,0.799999952,600,0.280000001,2436.2500,2734.0000,20632.2500,9751.5000,10880.7500
8.532,1.105,0.230,3,14.096,8.451,32.4,301.2,1596.4,18137.15,89.20,1713.35,88.49,1774.25,47.12,44.15,1694.8,0.289999992,9.6,0.799999952,600,0.280000001,2445.0000,2711.2500,20632.2500,9751.5000,10880.7500
8.516,1.107,0.231,4,14.097,8.450,29.6,311.1,1649.1,18146.52,89.20,1702.00,88.49,1782.43,47.15,44.20,1676.4,0.289999992,9.6,0.799999952,600,0.280000001,2437.2500,2718.7500,20632.2500,9751.5000,10880.7500
8.438,1.095,0.228,1,14.089,8.429,30.2,309.5,1640.1,18147.15,89.20,1813.65,89.19,1477.35,44.74,41.20,3585.5,0.289999992,10.30000019,0.849999964,600,0.259999991,2441.5000,2712.0000,20652.0000,9794.7500,10857.2500
8.524,1.111,0.230,2,14.102,8.455,30.4,311.2,1649.4,18148.65,89.20,1801.70,89.10,1520.80,44.75,41.21,3548.6,0.289999992,10.30000019,0.849999964,600,0.259999991,2457.2500,2720.5000,20652.0000,9794.7500,10857.2500
